category,name,successful_designs,failed_designs,mean_signed_error,mean_absolute_error,median_absolute_error,correlation,agreement_rate,false_pass_count,false_rejection_count,both_fail_count,both_pass_count,coarse_median_seconds,full_median_seconds,median_speedup
quantity,CLa,148,2,-1.2215587235904153e-05,0.40056372672247775,0.4260489989823979,0.7913060085646823,,,,,,,,
quantity,Cma,148,2,4.4456644911918685e-07,0.18598381873696357,0.1576661054534424,0.5202016496912385,,,,,,,,
quantity,Cmq,148,2,2.0736964150640886e-06,0.741674012113977,0.5607926343789258,0.9867278786615924,,,,,,,,
quantity,CYb,148,2,-3.596752832421257e-08,0.009211219090454742,0.007512941815702369,0.9581980815687331,,,,,,,,
quantity,CYr,148,2,6.764279228804437e-08,0.004959720617699385,0.004173758995499002,0.9187449902447934,,,,,,,,
quantity,Clb,148,2,3.551229233123666e-08,0.0016194820140209157,0.0013601264475000766,0.9484232411431129,,,,,,,,
quantity,Clp,148,2,-4.672475619801661e-07,0.04157956082885859,0.041921382531829726,0.866756457694584,,,,,,,,
quantity,Clr,148,2,3.3405581457660415e-08,0.001243931055568461,0.0010283258829391836,0.9916686916060478,,,,,,,,
quantity,Cnb,148,2,3.700002661291857e-07,0.02485070167324004,0.01833562185805736,0.7995248435983251,,,,,,,,
quantity,Cnr,148,2,-1.2120985851199978e-07,0.005149659442015433,0.004497872456106257,0.9714321866306752,,,,,,,,
quantity,static_margin,148,2,-0.0005782074321377982,0.026871775503325035,0.018289200442983364,0.8272328873540974,,,,,,,,
quantity,spiral_eigenvalue_real,148,2,-14.663505651436658,53.47192334802855,6.132192684730552,-0.4178860597417882,,,,,,,,
gate,longitudinal,148,2,,,,,1.0,0,0,0,148,,,
gate,directional,148,2,,,,,0.8175675675675675,7,20,87,34,,,
gate,static_margin,148,2,,,,,1.0,0,0,0,148,,,
gate,spiral,148,2,,,,,0.7635135135135135,7,28,59,54,,,
gate,overall,148,2,,,,,0.8648648648648649,5,15,111,17,,,
runtime,stability_analysis,148,2,,,,,,,,,,0.002004649955779314,0.28507744998205453,156.20701465774619
